rank,k,score,silhouette,davies_bouldin,calinski_harabasz,inertia,min_cluster_size,max_cluster_size,balance,valid_min_size,elapsed_sec
77,54,0.1604388952826591,0.03437570109963417,3.503800392235036,45.20733661419636,7290.60888671875,55,775,0.979843883977903,False,6.119
13,55,0.5229305149401063,0.04055032879114151,3.403657919493849,45.13434112097789,7251.11865234375,125,881,0.9790153135797964,True,6.566
11,56,0.5280408932903958,0.04044705629348755,3.3708737052432634,44.05728384798038,7275.8203125,113,1120,0.9789941055961697,True,6.547
50,57,0.288994885548846,0.041197869926691055,3.3319451643161546,43.80891149800806,7241.029296875,25,890,0.9675853514305885,False,6.31
22,58,0.49414912600223687,0.03800298273563385,3.3722216423198805,43.538706206972556,7208.2265625,117,830,0.9787290628314959,True,6.247
53,59,0.27482879199123356,0.04085220396518707,3.4126395068439597,43.71061218230654,7180.3369140625,54,772,0.9781392660373797,False,6.701
71,60,0.18217372710065194,0.03523604944348335,3.469098436699361,41.90344063679047,7217.36083984375,97,710,0.981945667579373,False,7.595
51,61,0.2881207500952143,0.04164706915616989,3.387969377617432,42.202227454050075,7183.0595703125,59,876,0.9750063784986619,False,7.063
25,62,0.4801559392522147,0.037617720663547516,3.4013029789962093,41.17002424328154,7185.1005859375,131,764,0.9787982229714074,True,7.305
75,63,0.17340942106505364,0.03420377895236015,3.437605777736445,41.03540942160273,7141.1162109375,53,793,0.9783342378364741,False,9.041
49,64,0.2940325615631356,0.04143768176436424,3.371063974551331,40.82484583008183,7134.2958984375,96,707,0.9802455800762593,False,9.159
62,65,0.24325788446457508,0.03763919696211815,3.323628096167979,40.06534786412659,7136.7041015625,68,880,0.9710903219923432,False,8.659
65,66,0.22545868903352284,0.037734437733888626,3.4326902669061714,39.687914364735676,7110.49560546875,73,672,0.9796666010418184,False,9.054
70,67,0.18372297283539968,0.0352942980825901,3.457327536614572,39.09949314689593,7131.3544921875,56,679,0.979616381705868,False,8.904
72,68,0.17777235964067684,0.035047583281993866,3.4580439049353986,38.53584298246816,7119.42041015625,37,804,0.9772087120690164,False,6.887
74,69,0.17407191097191843,0.03467492014169693,3.462039645646706,38.46409102350551,7079.861328125,55,771,0.9790531065388801,False,10.018
79,70,0.1253009116325654,0.031009620055556297,3.437192869880553,37.86085918364788,7091.88232421875,13,725,0.9765436243538935,False,11.812
48,71,0.3192223975734181,0.04191448539495468,3.261429098521152,38.04837024093057,7054.46728515625,17,727,0.9706169597914943,False,8.009
55,72,0.2621983636314509,0.03889957815408707,3.3293455315584746,37.62258650794755,7043.6884765625,31,710,0.9735682046742064,False,8.024
52,73,0.27845029959342527,0.04023672640323639,3.3470129274432536,37.24049881236351,7035.4501953125,50,803,0.9756200222821527,False,8.618
56,74,0.2535412861105746,0.038304463028907776,3.312307582995217,36.60490443964431,7052.49755859375,27,734,0.9697223215915253,False,7.642
64,75,0.23059283396336977,0.037537138909101486,3.4069345725104405,36.3772182493509,7032.3125,54,654,0.9823112391889459,False,6.876
69,76,0.19054641073573936,0.03358887508511543,3.312042630254646,35.56793635444075,7046.97802734375,8,633,0.974803680125211,False,7.27
54,77,0.268034456742412,0.03957190737128258,3.353239773086851,35.770133465191954,7000.95068359375,55,660,0.9766376079710903,False,7.299
76,78,0.1623147279135404,0.03170133754611015,3.3086402405214304,35.3696433922339,6995.48583984375,32,771,0.9708260893444738,False,7.466
66,79,0.2001786088455964,0.03480081632733345,3.343414617270245,34.908165868292954,6992.08349609375,11,691,0.974108379518496,False,7.162
57,80,0.2534619351292975,0.0375107116997242,3.3002306115775455,34.928282785034874,6972.24072265625,21,622,0.9782998642711903,False,7.229
